,cms_contentId,tot,fav,skipped
4949,106038191.0,2.0,0.0,0.0
4950,256580649.0,15.0,13.0,0.0
4951,382388077.0,501.0,111.0,310.0
4952,160059826.0,91.0,23.0,51.0
4953,112029885.0,2.0,0.0,1.0
4954,68577652.0,2.0,1.0,0.0
4955,125982793.0,22.0,15.0,3.0
4956,64188477.0,8.0,6.0,1.0
4957,14900903.0,53.0,17.0,22.0
4958,244901028.0,5.0,3.0,2.0
4959,516514931.0,1.0,1.0,0.0
4960,57804164.0,6.0,5.0,0.0
4961,141040643.0,4.0,2.0,2.0
4962,167055967.0,4.0,4.0,0.0
4963,138247504.0,99.0,75.0,17.0
4964,69322021.0,3.0,3.0,0.0
4965,38849459.0,31.0,20.0,5.0
4966,57139798.0,2.0,0.0,2.0
4967,41286045.0,2.0,2.0,0.0
4968,138247507.0,80.0,57.0,12.0
4969,233711715.0,8.0,5.0,1.0
4970,255152977.0,10.0,7.0,0.0
4971,322751765.0,17.0,9.0,0.0
4972,171673767.0,949.0,74.0,719.0
4973,420333899.0,2.0,1.0,0.0
4974,177822269.0,2.0,1.0,0.0
4975,173311933.0,1386.0,184.0,1109.0
4976,255048386.0,34.0,12.0,14.0
4977,41286044.0,2.0,0.0,2.0
4978,13631851.0,41.0,19.0,17.0
4979,3256944.0,3.0,1.0,0.0
4980,56916710.0,1004.0,269.0,483.0
4981,229759690.0,241.0,80.0,117.0
4982,260170189.0,5.0,3.0,2.0
4983,42465185.0,2.0,0.0,0.0
4984,62065596.0,5.0,5.0,0.0
4985,469248772.0,2.0,2.0,0.0
4986,6600027.0,63.0,50.0,8.0
4987,350694430.0,26.0,12.0,12.0
4988,149338672.0,39.0,28.0,4.0
4989,271721879.0,4.0,4.0,0.0
4990,193516246.0,1118.0,52.0,924.0
4991,233711186.0,18.0,8.0,6.0
4992,66616294.0,33.0,12.0,16.0
4993,126061016.0,1.0,0.0,0.0
4994,265938059.0,674.0,257.0,275.0
4995,188711464.0,31.0,8.0,17.0
4996,531002716.0,1.0,1.0,0.0
4997,290445973.0,2.0,2.0,0.0
4998,171782414.0,18.0,13.0,1.0
4999,149338668.0,78.0,25.0,42.0
5000,17132007.0,805.0,397.0,275.0
5001,56511744.0,20.0,10.0,2.0
5002,182409911.0,95.0,68.0,10.0
5003,78039886.0,1.0,1.0,0.0
5004,428249082.0,2.0,2.0,0.0
5005,124944705.0,11.0,0.0,6.0
5006,149460948.0,6.0,0.0,0.0
5007,510814933.0,1.0,0.0,1.0
5008,204732869.0,1.0,1.0,0.0
5009,227043996.0,1.0,1.0,0.0
5010,51708667.0,21.0,15.0,3.0
5011,76194367.0,2.0,2.0,0.0
5012,40749077.0,13.0,5.0,1.0
5013,233713731.0,5.0,3.0,0.0
5014,2027150.0,2404.0,1388.0,575.0
5015,231411442.0,5.0,4.0,0.0
5016,42839879.0,304.0,196.0,30.0
5017,42123383.0,11.0,10.0,1.0
5018,42632413.0,9.0,7.0,1.0
5019,6043717.0,7.0,1.0,0.0
5020,194075953.0,14.0,5.0,4.0
5021,164937792.0,1.0,1.0,0.0
5022,56448349.0,31.0,19.0,3.0
5023,233705894.0,3.0,0.0,0.0
5024,515509576.0,3.0,2.0,1.0
5025,481211210.0,1.0,0.0,1.0
5026,242398994.0,2.0,2.0,0.0
5027,232768433.0,3.0,1.0,1.0
5028,3479540.0,7.0,6.0,1.0
5029,119689332.0,1.0,0.0,0.0
5030,56911577.0,87.0,20.0,39.0
5031,336445741.0,3.0,1.0,0.0
5032,177531796.0,1.0,0.0,0.0
5033,509267771.0,4.0,4.0,0.0
5034,107574197.0,17.0,17.0,0.0
5035,267336739.0,2.0,0.0,1.0
5036,322751760.0,15.0,7.0,0.0
5037,40749141.0,11.0,4.0,1.0
5038,538474986.0,29.0,16.0,9.0
5039,231838411.0,2.0,0.0,1.0
5040,3382236.0,6.0,6.0,0.0
5041,516514934.0,1.0,1.0,0.0
5042,203621535.0,7.0,1.0,0.0
5043,219923424.0,55.0,25.0,23.0
5044,231917629.0,9.0,9.0,0.0
5045,14900895.0,242.0,40.0,125.0
5046,56994168.0,2.0,1.0,0.0
5047,233712789.0,45.0,14.0,20.0
5048,473803409.0,33.0,16.0,15.0
5049,47697869.0,25.0,16.0,5.0
5050,145159604.0,5.0,3.0,0.0
5051,142362768.0,2.0,2.0,0.0
5052,333570877.0,23.0,15.0,8.0
5053,72153642.0,1.0,1.0,0.0
5054,538474993.0,11.0,5.0,2.0
5055,57098533.0,256.0,83.0,129.0
5056,15928485.0,87.0,30.0,41.0
5057,322057659.0,3.0,3.0,0.0
5058,48103095.0,1.0,1.0,0.0
5059,10873046.0,5.0,3.0,0.0
5060,512652659.0,1.0,1.0,0.0
5061,177469722.0,1.0,0.0,0.0
5062,201132603.0,2.0,2.0,0.0
5063,423404760.0,3.0,3.0,0.0
5064,70500674.0,2.0,2.0,0.0
5065,57800814.0,11.0,9.0,1.0
5066,215235492.0,33.0,26.0,2.0
5067,6600033.0,97.0,14.0,35.0
5068,319389640.0,4.0,0.0,3.0
5069,113385042.0,15.0,13.0,0.0
5070,30035280.0,345.0,113.0,199.0
5071,466437174.0,1.0,1.0,0.0
5072,330325803.0,1.0,1.0,0.0
5073,492138116.0,2.0,1.0,0.0
5074,169454424.0,2.0,2.0,0.0
5075,163561390.0,3.0,2.0,0.0
5076,52165532.0,38.0,37.0,1.0
5077,3367498.0,254.0,91.0,126.0
5078,66591871.0,12.0,10.0,0.0
5079,41286256.0,2.0,1.0,1.0
5080,32244002.0,1.0,1.0,0.0
5081,13295524.0,5.0,4.0,0.0
5082,322751773.0,16.0,8.0,0.0
5083,309123051.0,1.0,1.0,0.0
5084,164653922.0,3.0,3.0,0.0
5085,188711448.0,46.0,17.0,19.0
5086,171563712.0,1.0,1.0,0.0
5087,532615012.0,11.0,3.0,7.0
5088,77340657.0,89.0,43.0,30.0
5089,1090761.0,3.0,0.0,2.0
5090,119511911.0,6.0,5.0,0.0
5091,229822437.0,51.0,13.0,3.0
5092,21238791.0,54.0,26.0,21.0
5093,320819971.0,6.0,4.0,1.0
5094,106224962.0,24.0,16.0,5.0
5095,69889258.0,1.0,1.0,0.0
5096,72254181.0,4.0,4.0,0.0
5097,63495953.0,3.0,2.0,0.0
5098,268954450.0,12.0,9.0,3.0
5099,194075948.0,66.0,44.0,14.0
5100,400794211.0,8.0,8.0,0.0
5101,6802276.0,95.0,47.0,38.0
5102,118139545.0,1.0,1.0,0.0
5103,125829517.0,2.0,0.0,0.0
5104,175715147.0,1.0,1.0,0.0
5105,16376180.0,3.0,2.0,0.0
5106,56905305.0,6.0,5.0,0.0
5107,13305304.0,11.0,8.0,0.0
5108,105463278.0,5.0,2.0,0.0
5109,164619377.0,10.0,10.0,0.0
5110,283134274.0,7.0,4.0,2.0
5111,42839876.0,347.0,230.0,34.0
5112,43650002.0,5.0,5.0,0.0
5113,105463280.0,2.0,1.0,0.0
5114,163409690.0,2.0,0.0,1.0
5115,2592568.0,77.0,36.0,24.0
5116,124179284.0,184.0,29.0,134.0
5117,384725939.0,366.0,137.0,185.0
5118,66526684.0,2.0,0.0,0.0
5119,60019058.0,3.0,3.0,0.0
5120,104683877.0,24.0,15.0,5.0
5121,42457510.0,1.0,0.0,1.0
5122,41286261.0,1.0,0.0,1.0
5123,66591869.0,187.0,136.0,30.0
5124,327537353.0,3.0,3.0,0.0
